CCLE_name	in_metmap125	in_metmap500	depmap_id	name	site_of_origin	corrected_site_of_origin	site_of_origin_detail	corrected_site_of_origin_detail	primary_with_met	primary_met_3category	tissue	cancer_type	cancer_subtype	gender	age	age_bin	ethnicity	inferred_ethnicity
LS411N_LARGE_INTESTINE	TRUE	TRUE	ACH-000985	LS411N	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	male	32	(30,40]	caucasian	caucasian
HCT15_LARGE_INTESTINE	FALSE	TRUE	ACH-000997	HCT15	primary	primary	NA	NA	0	primary	LARGE_INTESTINE	colorectal cancer	adenocarcinoma, MSI	male	NA	NA	NA	caucasian
MFE280_ENDOMETRIUM	FALSE	TRUE	ACH-000192	MFE280	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	77	(70,80]	caucasian	caucasian
MFE296_ENDOMETRIUM	FALSE	TRUE	ACH-000879	MFE296	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	68	(60,70]	caucasian	caucasian
JHUEM2_ENDOMETRIUM	FALSE	TRUE	ACH-000909	JHUEM2	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	62	(60,70]	asian	asian
AN3CA_ENDOMETRIUM	TRUE	TRUE	ACH-000940	AN3CA	metastasis	metastasis	lymph_node	lymph node	0	metastasis	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	55	(50,60]	caucasian	caucasian
HEC1B_ENDOMETRIUM	FALSE	TRUE	ACH-000941	HEC1B	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	71	(70,80]	asian	asian
HEC265_ENDOMETRIUM	FALSE	TRUE	ACH-000946	HEC265	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	59	(50,60]	asian	asian
HEC1A_ENDOMETRIUM	TRUE	TRUE	ACH-000954	HEC1A	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	71	(70,80]	asian	asian
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	TRUE	TRUE	ACH-000961	ISHIKAWAHERAKLIO02ER	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	39	(30,40]	NA	asian
HEC151_ENDOMETRIUM	FALSE	TRUE	ACH-000972	HEC151	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	NA	NA	asian	asian
SNGM_ENDOMETRIUM	FALSE	TRUE	ACH-000974	SNGM	metastasis	metastasis	lymph_node	lymph node	0	metastasis	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	52	(50,60]	asian	asian
EN_ENDOMETRIUM	FALSE	TRUE	ACH-000978	EN	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	50	(40,50]	asian	asian
HEC6_ENDOMETRIUM	FALSE	TRUE	ACH-000984	HEC6	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	48	(40,50]	asian	asian
HEC108_ENDOMETRIUM	FALSE	TRUE	ACH-000990	HEC108	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	NA	NA	asian	asian
HEC59_ENDOMETRIUM	FALSE	TRUE	ACH-000994	HEC59	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	NA	NA	asian	asian
HEC251_ENDOMETRIUM	FALSE	TRUE	ACH-000996	HEC251	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenocarcinoma	female	53	(50,60]	asian	asian
RL952_ENDOMETRIUM	FALSE	TRUE	ACH-000965	RL952	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenosquamous carcinoma	female	65	(60,70]	caucasian	caucasian
MFE319_ENDOMETRIUM	FALSE	TRUE	ACH-000988	MFE319	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	adenosquamous carcinoma	female	81	(80,90]	caucasian	caucasian
TEN_ENDOMETRIUM	FALSE	TRUE	ACH-000397	TEN	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	clear cell carcinoma	female	74	(70,80]	asian	asian
SNU1077_ENDOMETRIUM	FALSE	TRUE	ACH-000302	SNU1077	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	malignant mixed mullerian tumor (MMMT)	female	60	(50,60]	asian	asian
SNU685_ENDOMETRIUM	FALSE	TRUE	ACH-000407	SNU685	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	malignant mixed mullerian tumor (MMMT)	female	70	(60,70]	asian	asian
ESS1_ENDOMETRIUM	FALSE	TRUE	ACH-000913	ESS1	primary	primary	NA	NA	0	primary	ENDOMETRIUM	endometrial cancer	stromal sarcoma	female	76	(70,80]	caucasian	caucasian
OE33_OESOPHAGUS	FALSE	TRUE	ACH-000383	OE33	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	adenocarcinoma	female	73	(70,80]	caucasian	caucasian
OE19_OESOPHAGUS	TRUE	TRUE	ACH-000679	OE19	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	adenocarcinoma	male	72	(70,80]	caucasian	caucasian
ECGI10_OESOPHAGUS	FALSE	TRUE	ACH-000305	ECGI10	primary	metastasis	NA	lymph node	1	primary_with_met	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	65	(60,70]	asian	asian
TE10_OESOPHAGUS	FALSE	TRUE	ACH-000318	TE10	primary	primary	NA	NA	1	primary_with_met	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	58	(50,60]	asian	asian
TE5_OESOPHAGUS	FALSE	TRUE	ACH-000408	TE5	primary	primary	NA	NA	1	primary_with_met	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	female	73	(70,80]	asian	asian
TE8_OESOPHAGUS	FALSE	TRUE	ACH-000452	TE8	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	63	(60,70]	asian	asian
TE11_OESOPHAGUS	FALSE	TRUE	ACH-000488	TE11	primary	primary	NA	NA	1	primary_with_met	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	58	(50,60]	asian	asian
OE21_OESOPHAGUS	FALSE	TRUE	ACH-000544	OE21	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	74	(70,80]	caucasian	caucasian
TT_OESOPHAGUS	FALSE	TRUE	ACH-000561	T.T	metastasis	metastasis	mandible	mandible	0	metastasis	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	67	(60,70]	asian	na
TE6_OESOPHAGUS	FALSE	TRUE	ACH-000605	TE6	primary	primary	NA	NA	1	primary_with_met	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	71	(70,80]	asian	asian
KYSE520_OESOPHAGUS	FALSE	TRUE	ACH-000637	KYSE520	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	female	58	(50,60]	asian	asian
TE1_OESOPHAGUS	FALSE	TRUE	ACH-000647	TE1	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	58	(50,60]	asian	asian
KYSE180_OESOPHAGUS	FALSE	TRUE	ACH-000693	KYSE180	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	53	(50,60]	asian	asian
TE9_OESOPHAGUS	FALSE	TRUE	ACH-000694	TE9	primary	metastasis	NA	pleural effusion	0	metastasis	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	48	(40,50]	asian	asian
COLO680N_OESOPHAGUS	FALSE	TRUE	ACH-000717	COLO680N	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	female	57	(50,60]	african_american	african_american
KYSE30_OESOPHAGUS	TRUE	TRUE	ACH-000777	KYSE30	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	64	(60,70]	asian	asian
KYSE70_OESOPHAGUS	TRUE	TRUE	ACH-000784	KYSE70	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	77	(70,80]	asian	asian
KYSE410_OESOPHAGUS	TRUE	TRUE	ACH-000809	KYSE410	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	51	(50,60]	asian	asian
KYSE140_OESOPHAGUS	FALSE	TRUE	ACH-000823	KYSE140	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	54	(50,60]	asian	asian
KYSE510_OESOPHAGUS	TRUE	TRUE	ACH-000824	KYSE510	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	female	67	(60,70]	asian	asian
KYSE150_OESOPHAGUS	FALSE	TRUE	ACH-000855	KYSE150	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	female	49	(40,50]	asian	asian
KYSE270_OESOPHAGUS	FALSE	TRUE	ACH-000873	KYSE270	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	male	79	(70,80]	asian	asian
TE4_OESOPHAGUS	FALSE	TRUE	ACH-000917	TE4	primary	primary	NA	NA	0	primary	OESOPHAGUS	esophageal cancer	squamous cell carcinoma	female	48	(40,50]	asian	asian
GCIY_STOMACH	FALSE	TRUE	ACH-000047	GCIY	primary	metastasis	NA	ascites	0	metastasis	STOMACH	gastric cancer	adenocarcinoma	female	39	(30,40]	asian	asian
AGS_STOMACH	TRUE	TRUE	ACH-000880	AGS	primary	primary	NA	NA	0	primary	STOMACH	gastric cancer	adenocarcinoma	female	54	(50,60]	caucasian	caucasian
2313287_STOMACH	FALSE	TRUE	ACH-000948	2313287	primary	primary	NA	NA	0	primary	STOMACH	gastric cancer	adenocarcinoma	male	72	(70,80]	caucasian	caucasian
IM95_STOMACH	FALSE	TRUE	ACH-000919	IM95	primary	primary	NA	NA	0	primary	STOMACH	gastric cancer	adenocarcinoma, moderately differentiated	male	63	(60,70]	asian	asian
SH10TC_STOMACH	FALSE	TRUE	ACH-000764	SH10TC	primary	primary	NA	NA	0	primary	STOMACH	gastric cancer	adenocarcinoma, mucinous	NA	NA	NA	asian	asian
NUGC3_STOMACH	FALSE	TRUE	ACH-000911	NUGC3	primary	metastasis	NA	brachialis muscle	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, poorly differentiated	male	72	(70,80]	asian	asian
SNU668_STOMACH	FALSE	TRUE	ACH-000344	SNU668	metastasis	metastasis	ascites	ascites	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, signet ring cell	male	63	(60,70]	asian	asian
NUGC4_STOMACH	FALSE	TRUE	ACH-000674	NUGC4	metastasis	metastasis	lymph_node	lymph node	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, signet ring cell	female	35	(30,40]	asian	asian
SNU601_STOMACH	TRUE	TRUE	ACH-000736	SNU601	metastasis	metastasis	ascites	ascites	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, signet ring cell	male	34	(30,40]	asian	asian
NCIN87_STOMACH	TRUE	TRUE	ACH-000427	NCIN87	metastasis	metastasis	liver	liver	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, tubular	male	NA	NA	NA	african_american
MKN7_STOMACH	FALSE	TRUE	ACH-000678	MKN7	metastasis	metastasis	lymph_node	lymph node	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, tubular	male	39	(30,40]	asian	asian
MKN74_STOMACH	FALSE	TRUE	ACH-000758	MKN74	metastasis	metastasis	liver	liver	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, tubular	male	37	(30,40]	asian	asian
SNU719_STOMACH	TRUE	TRUE	ACH-000898	SNU719	primary	primary	NA	NA	0	primary	STOMACH	gastric cancer	adenocarcinoma, tubular	male	53	(50,60]	asian	asian
MKN45_STOMACH	FALSE	TRUE	ACH-000356	MKN45	metastasis	metastasis	liver	liver	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, undifferentiated	female	62	(60,70]	asian	asian
HGC27_STOMACH	TRUE	TRUE	ACH-000847	HGC27	metastasis	metastasis	lymph_node	lymph node	0	metastasis	STOMACH	gastric cancer	adenocarcinoma, undifferentiated	NA	NA	NA	asian	asian
MKN1_STOMACH	FALSE	TRUE	ACH-000351	MKN1	metastasis	metastasis	lymph_node	lymph node	0	metastasis	STOMACH	gastric cancer	adenosquamous carcinoma	male	72	(70,80]	asian	asian
LMSU_STOMACH	FALSE	TRUE	ACH-000255	LMSU	metastasis	metastasis	lymph_node	lymph node	0	metastasis	STOMACH	gastric cancer	sarcoma, gastric	female	27	(20,30]	asian	asian
YD15_SALIVARY_GLAND	TRUE	TRUE	ACH-000836	YD15	primary	primary	NA	NA	1	primary_with_met	SALIVARY_GLAND	head and neck cancer	mucoepidermoid carcinoma, tongue	male	39	(30,40]	asian	asian
YD38_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000762	YD38	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, gingival	male	67	(60,70]	asian	asian
BICR6_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000415	BICR6	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, hypopharyngeal	male	NA	NA	caucasian	caucasian
SNU1041_UPPER_AERODIGESTIVE_TRACT	TRUE	TRUE	ACH-000618	SNU1041	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, hypopharyngeal	male	NA	NA	asian	asian
FADU_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000846	FADU	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, hypopharyngeal	male	56	(50,60]	indian	caucasian
SNU46_UPPER_AERODIGESTIVE_TRACT	TRUE	TRUE	ACH-000500	SNU46	primary	primary	NA	NA	1	primary_with_met	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, laryngeal	male	66	(60,70]	asian	asian
SNU1076_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000549	SNU1076	primary	primary	NA	NA	1	primary_with_met	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, laryngeal	male	60	(50,60]	asian	asian
SNU1066_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000682	SNU1066	primary	primary	NA	NA	1	primary_with_met	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, laryngeal	male	62	(60,70]	asian	asian
SNU1214_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000715	SNU1214	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, laryngeal	male	55	(50,60]	asian	asian
HSC2_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000472	HSC2	primary	metastasis	NA	cervical lymph node	0	metastasis	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, oral	male	69	(60,70]	asian	asian
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000732	PECAPJ41CLONED2	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, oral	female	67	(60,70]	NA	caucasian
DETROIT562_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000207	DETROIT562	metastasis	metastasis	pleura	pleural effusion	0	metastasis	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, pharyngeal	female	NA	NA	caucasian	caucasian
SCC25_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000188	SCC25	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	70	(60,70]	NA	caucasian
BICR31_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000228	BICR31	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	NA	NA	caucasian	caucasian
BICR16_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000503	BICR16	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	NA	NA	caucasian	caucasian
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000619	PECAPJ15	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	45	(40,50]	NA	caucasian
YD8_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000630	YD8	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	female	46	(40,50]	asian	asian
YD10B_UPPER_AERODIGESTIVE_TRACT	TRUE	TRUE	ACH-000723	YD10B	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	67	(60,70]	asian	asian
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000735	PECAPJ49	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	57	(50,60]	caucasian	caucasian
BICR56_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000771	BICR56	primary	primary	NA	NA	0	primary	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	female	NA	NA	caucasian	caucasian
HSC3_UPPER_AERODIGESTIVE_TRACT	TRUE	TRUE	ACH-000778	HSC3	primary	metastasis	NA	cervical lymph node	0	metastasis	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	64	(60,70]	asian	asian
BICR22_UPPER_AERODIGESTIVE_TRACT	TRUE	FALSE	ACH-000794	BICR22	primary	metastasis	NA	lymph node	0	NA	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	88	(80,90]	NA	na
CAL27_UPPER_AERODIGESTIVE_TRACT	FALSE	TRUE	ACH-000832	CAL27	primary	primary	NA	NA	1	primary_with_met	UPPER_AERODIGESTIVE_TRACT	head and neck cancer	squamous cell carcinoma, tongue	male	56	(50,60]	caucasian	caucasian
ACHN_KIDNEY	FALSE	TRUE	ACH-000046	ACHN	metastasis	metastasis	pleura	pleural effusion	0	metastasis	KIDNEY	kidney cancer	renal cell adenocarcinoma	male	22	(20,30]	caucasian	caucasian
A704_KIDNEY	FALSE	TRUE	ACH-000429	A704	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell adenocarcinoma	male	78	(70,80]	NA	african_american
769P_KIDNEY	TRUE	TRUE	ACH-000411	769P	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell adenocarcinoma, clear cell	female	63	(60,70]	caucasian	caucasian
786O_KIDNEY	FALSE	TRUE	ACH-000649	786O	primary	primary	NA	NA	1	primary_with_met	KIDNEY	kidney cancer	renal cell adenocarcinoma, clear cell	male	58	(50,60]	caucasian	caucasian
OSRC2_KIDNEY	FALSE	TRUE	ACH-000159	OSRC2	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma	male	52	(50,60]	asian	asian
VMRCRCZ_KIDNEY	FALSE	TRUE	ACH-000171	VMRCRCZ	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma	NA	NA	NA	asian	caucasian
RCC10RGB_KIDNEY	FALSE	TRUE	ACH-000189	RCC10RGB	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma	male	NA	NA	asian	asian
KMRC20_KIDNEY	FALSE	TRUE	ACH-000250	KMRC20	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma	NA	NA	NA	asian	asian
UO31_KIDNEY	TRUE	TRUE	ACH-000428	UO31	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma	male	NA	NA	NA	caucasian
CAL54_KIDNEY	TRUE	TRUE	ACH-000457	CAL54	metastasis	metastasis	pleura	pleural effusion	0	metastasis	KIDNEY	kidney cancer	renal cell carcinoma	male	75	(70,80]	NA	caucasian
VMRCRCW_KIDNEY	FALSE	TRUE	ACH-000484	VMRCRCW	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma	male	NA	NA	asian	caucasian
TUHR4TKB_KIDNEY	FALSE	TRUE	ACH-000495	TUHR4TKB	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma	male	60	(50,60]	asian	asian
KMRC3_KIDNEY	FALSE	TRUE	ACH-000313	KMRC3	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma, clear cell	male	NA	NA	asian	asian
CAKI1_KIDNEY	FALSE	TRUE	ACH-000433	CAKI1	metastasis	metastasis	skin	skin	0	metastasis	KIDNEY	kidney cancer	renal cell carcinoma, clear cell	male	49	(40,50]	caucasian	caucasian
KMRC1_KIDNEY	FALSE	TRUE	ACH-000684	KMRC1	primary	primary	NA	NA	1	primary_with_met	KIDNEY	kidney cancer	renal cell carcinoma, clear cell	male	NA	NA	asian	asian
BFTC909_KIDNEY	FALSE	TRUE	ACH-000792	BFTC909	primary	primary	NA	NA	0	primary	KIDNEY	kidney cancer	renal cell carcinoma, transitional cell	male	64	(60,70]	asian	asian
HUH6_LIVER	FALSE	TRUE	ACH-000671	HUH6	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatoblastoma	male	1	(0,10]	asian	asian
SKHEP1_LIVER	TRUE	TRUE	ACH-000361	SKHEP1	metastasis	metastasis	ascites	ascites	0	metastasis	LIVER	liver cancer	hepatocellular adenocarcinoma	male	52	(50,60]	caucasian	caucasian
JHH6_LIVER	FALSE	TRUE	ACH-000217	JHH6	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	female	57	(50,60]	asian	asian
SNU398_LIVER	FALSE	TRUE	ACH-000221	SNU398	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	42	(40,50]	asian	asian
SNU886_LIVER	FALSE	TRUE	ACH-000316	SNU886	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	57	(50,60]	asian	asian
HLF_LIVER	TRUE	TRUE	ACH-000393	HLF	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	69	(60,70]	asian	asian
SNU449_LIVER	FALSE	TRUE	ACH-000420	SNU449	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	52	(50,60]	asian	asian
LI7_LIVER	FALSE	TRUE	ACH-000471	LI7	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	45	(40,50]	asian	asian
JHH4_LIVER	TRUE	TRUE	ACH-000476	JHH4	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	51	(50,60]	asian	asian
HUH7_LIVER	FALSE	TRUE	ACH-000480	HUH7	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	57	(50,60]	asian	asian
SNU423_LIVER	FALSE	TRUE	ACH-000493	SNU423	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	40	(30,40]	asian	asian
SNU761_LIVER	TRUE	TRUE	ACH-000537	SNU761	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	49	(40,50]	asian	asian
JHH1_LIVER	FALSE	TRUE	ACH-000620	JHH1	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	50	(40,50]	asian	asian
HEP3B217_LIVER	FALSE	TRUE	ACH-000625	HEP3B217	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	8	(0,10]	african_american	african_american
JHH5_LIVER	FALSE	TRUE	ACH-000734	JHH5	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	50	(40,50]	asian	asian
JHH7_LIVER	FALSE	TRUE	ACH-000848	JHH7	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	53	(50,60]	asian	asian
PLCPRF5_LIVER	TRUE	TRUE	ACH-001318	PLCPRF5	primary	primary	NA	NA	0	primary	LIVER	liver cancer	hepatocellular carcinoma	male	24	(20,30]	african_american	african_american
NCIH727_LUNG	FALSE	TRUE	ACH-000775	NCIH727	primary	primary	NA	NA	0	primary	LUNG	lung cancer	carcinoid	female	65	(60,70]	caucasian	caucasian
NCIH2077_LUNG	FALSE	TRUE	ACH-000010	NCIH2077	metastasis	metastasis	lymph_node	lymph node	0	metastasis	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	male	58	(50,60]	caucasian	na
HCC827_LUNG	TRUE	TRUE	ACH-000012	HCC827	primary	primary	NA	NA	0	primary	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	female	39	(30,40]	caucasian	caucasian
NCIH1693_LUNG	FALSE	TRUE	ACH-000021	NCIH1693	metastasis	metastasis	lymph_node	lymph node	0	metastasis	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	female	55	(50,60]	caucasian	caucasian
PC14_LUNG	TRUE	TRUE	ACH-000030	PC14	primary	primary	NA	NA	0	primary	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	male	45	(40,50]	asian	asian
NCIH1650_LUNG	FALSE	TRUE	ACH-000035	NCIH1650	metastasis	metastasis	pleura	pleural effusion	0	metastasis	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	male	27	(20,30]	caucasian	caucasian
RERFLCMS_LUNG	FALSE	TRUE	ACH-000062	RERFLCMS	primary	primary	NA	NA	0	primary	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	male	NA	NA	asian	asian
HCC4006_LUNG	FALSE	TRUE	ACH-000066	HCC4006	metastasis	metastasis	pleura	pleural effusion	0	metastasis	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	male	50	(40,50]	caucasian	caucasian
CORL105_LUNG	FALSE	TRUE	ACH-000161	CORL105	primary	metastasis	NA	pleural effusion	0	metastasis	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	male	NA	NA	caucasian	caucasian
SKLU1_LUNG	FALSE	TRUE	ACH-000309	SKLU1	primary	primary	NA	NA	0	primary	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	female	60	(50,60]	caucasian	caucasian
NCIH2122_LUNG	FALSE	TRUE	ACH-000311	NCIH2122	metastasis	metastasis	pleura	pleural effusion	0	metastasis	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	female	46	(40,50]	caucasian	caucasian
NCIH522_LUNG	FALSE	TRUE	ACH-000343	NCIH522	primary	primary	NA	NA	0	primary	LUNG	lung cancer	non-small cell lung cancer (nsclc), adenocarcinoma	male	60	(50,60]	caucasian	caucasian
